zone_id,city,lat,lon
CE,Chicago IL,41.8781,-87.6298
CE,Rockford IL,42.2711,-89.0940
CE,Joliet IL,41.5250,-88.0817
DOM,Richmond VA,37.5407,-77.4360
DOM,Norfolk VA,36.8508,-76.2859
DOM,Sterling VA,39.0062,-77.4286
AEP,Columbus OH,39.9612,-82.9988
AEP,Charleston WV,38.3498,-81.6326
AEP,Roanoke VA,37.2710,-79.9414
BC,Baltimore MD,39.2904,-76.6122
BC,Annapolis MD,38.9784,-76.4922
PE,Philadelphia PA,39.9526,-75.1652
PE,Norristown PA,40.1215,-75.3399
PEP,Washington DC,38.9072,-77.0369
PEP,Rockville MD,39.0840,-77.1528
PS,Newark NJ,40.7357,-74.1724
PS,New Brunswick NJ,40.4862,-74.4518
PS,Trenton NJ,40.2206,-74.7597
PL,Allentown PA,40.6084,-75.4902
PL,Harrisburg PA,40.2732,-76.8867
PL,Scranton PA,41.4090,-75.6624
JC,Toms River NJ,39.9537,-74.1979
JC,Morristown NJ,40.7968,-74.4815
JC,Freehold NJ,40.2601,-74.2735
DUQ,Pittsburgh PA,40.4406,-79.9959
DUQ,Washington PA,40.1737,-80.2462
ATSI,Cleveland OH,41.4993,-81.6944
ATSI,Akron OH,41.0814,-81.5190
ATSI,Toledo OH,41.6528,-83.5379
DAY,Dayton OH,39.7589,-84.1916
DAY,Springfield OH,39.9242,-83.8088
DEOK,Cincinnati OH,39.1031,-84.5120
DEOK,Hamilton OH,39.3995,-84.5613
AP,Morgantown WV,39.6295,-79.9559
AP,Hagerstown MD,39.6418,-77.7200
AP,Greensburg PA,40.3015,-79.5389
AP,Martinsburg WV,39.4562,-77.9639
AE,Atlantic City NJ,39.3643,-74.4229
AE,Vineland NJ,39.4864,-75.0257
ME,Reading PA,40.3356,-75.9269
ME,York PA,39.9626,-76.7277
ME,Easton PA,40.6884,-75.2207
DPL,Wilmington DE,39.7391,-75.5398
DPL,Dover DE,39.1582,-75.5244
DPL,Salisbury MD,38.3607,-75.5994
RECO,Mahwah NJ,41.0887,-74.1435
RECO,Nyack NY,41.0909,-73.9179
EKPC,Winchester KY,37.9903,-84.1794
EKPC,Lexington KY,38.0406,-84.5037
EKPC,Somerset KY,37.0920,-84.6041
PN,Erie PA,42.1292,-80.0851
PN,Johnstown PA,40.3267,-78.9220
PN,State College PA,40.7934,-77.8600
PN,Williamsport PA,41.2412,-77.0011
